Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BA Stokes,2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32
DP Conway,2022-2023,23,22,3,924,92*,48.63,654,141.28,0,9,2,99,30
RK Singh,2018-2024,46,40,11,893,67*,30.79,623,143.33,0,4,0,67,46
SM Curran,2019-2024,59,48,13,883,63*,25.22,647,136.47,0,5,4,74,37
Harbhajan Singh,2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42
R Ashwin,2009-2024,212,94,34,800,50,13.33,675,118.51,0,1,12,61,28
RM Patidar,2021-2024,27,24,1,799,112*,34.73,503,158.84,1,7,1,51,54
Shakib Al Hasan,2011-2021,71,52,12,793,66*,19.82,637,124.48,0,2,4,73,21
TM Head,2016-2024,25,25,4,772,102,36.76,444,173.87,1,5,4,76,40
Prabhsimran Singh,2019-2024,34,34,-,756,103,22.23,517,146.22,1,3,3,78,41
JM Sharma,2022-2024,40,36,4,730,49*,22.81,483,151.13,0,0,2,53,45
C Green,2023-2024,29,28,11,707,100*,41.58,460,153.69,1,2,0,62,32
MR Marsh,2010-2024,42,36,2,665,89,19.55,521,127.63,0,3,5,48,38
TH David,2021-2024,38,35,12,659,46,28.65,387,170.28,0,0,3,38,46
E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36
PD Salt,2023-2024,21,21,2,653,89*,34.36,372,175.53,0,6,3,74,34
A Badoni,2022-2024,42,35,9,634,59*,24.38,473,134.03,0,4,2,46,24
PP Chawla,2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20
CH Morris,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35
JJ Roy,2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21
SN Khan,2015-2023,50,37,11,585,67,22.5,448,130.58,0,1,3,63,14
Abdul Samad,2020-2024,50,40,10,577,37*,19.23,395,146.07,0,0,3,37,36
M Shahrukh Khan,2021-2024,40,38,10,553,58,19.75,391,141.43,0,1,3,35,37
Rashid Khan,2017-2024,121,60,23,545,79*,14.72,337,161.72,0,1,15,39,38
Shahbaz Ahmed,2020-2024,55,37,9,536,59*,19.14,440,121.81,0,1,1,28,25
MK Lomror,2018-2024,40,35,6,527,54*,18.17,373,141.28,0,1,3,33,30
PJ Cummins,2014-2024,58,41,15,515,66*,19.8,344,149.7,0,3,4,33,34
Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11
SW Billings,2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20
RR Rossouw,2014-2024,22,22,2,473,82*,23.65,308,153.57,0,2,4,45,25
